#,Title,Verdict,Confidence,Evidence,Source,Logic,Bottom Line
30,QAnon Deep State Cabal,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 2/10,There is no truth to the claim of a secret Satanic pedophile cabal of Democrat politicians and Hollywood celebrities operating a global child trafficking network.
31,Mandela Effect CERN,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 2/10,
32,Illuminati Hollywood,DEBUNKED,90%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 6/10,The claim appears to be a conspiracy theory with no concrete evidence to support it.
33,Vaccine Autism Link,UNVERIFIED,?,0,0,0,
34,Climate Change Hoax,DEBUNKED,99%,EVIDENCE SCORE: 1/10,SOURCE SCORE: 2/10,LOGIC SCORE: 3/10,There is no credible evidence to support the claim that human-caused climate change is a hoax invented by globalists.
35,Phantom Time Conspiracy,####  DEBUNKED,####  99%,#### EVIDENCE SCORE: 1/10,#### SOURCE SCORE: 2/10,#### LOGIC SCORE: 1/10,####
36,Tartarian Empire,The final answer is:  MISLEADING,90%,EVIDENCE SCORE: 2/10 ,SOURCE SCORE: 3/10 ,LOGIC SCORE: 8/10 ,There is no substantial evidence to support the claim of a lost civilization called Tartaria.
37,Freemason Global Control,DEBUNKED,80%,EVIDENCE SCORE: 6/10,SOURCE SCORE: 7/10,LOGIC SCORE: 8/10,The claim of Freemasons running a shadow government controlling global systems is not supported by credible evidence.
38,Priory of Sion Jesus Bloodline,###  MISLEADING,###  80%,### EVIDENCE SCORE: 4/10,### SOURCE SCORE: 3/10,### LOGIC SCORE: 7/10,###
39,Denver Airport Conspiracy,UNVERIFIED,?,0,0,0,
40,ID2020 Microchip,DEBUNKED,99%,EVIDENCE SCORE: 1/10,SOURCE SCORE: 2/10,LOGIC SCORE: 1/10,The claim that ID2020 plans to implant microchips in humans through vaccines for a global surveillance system is a baseless conspiracy theory.
41,NESARA Secret Law,MISLEADING,90%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 8/10,The claim about NESARA appears to be a conspiracy theory with no basis in verifiable fact.
42,Tesla Free Energy Suppression,MISLEADING,90%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 6/10,"The narrative that Tesla was working on ""free energy"" technology has been sensationalized and distorted over time, and it does not reflect the actual history of his work."
43,Bohemian Grove Rituals,MISLEADING,80%,EVIDENCE SCORE: 4/10,SOURCE SCORE: 6/10,LOGIC SCORE: 7/10,
44,Roswell Alien Crash,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 2/10,LOGIC SCORE: 3/10,"There is no credible evidence to support the claim of an alien spacecraft crashing near Roswell, New Mexico in 1947."
45,Brexit Cambridge Analytica,UNVERIFIED,?,0,0,0,
46,Simulation Theory Cover-up,MISLEADING,90%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 6/10,There is no verified evidence that governments and scientists know we live in a computer simulation or that they suppress such information.
47,Indian EVM Rigging,DEBUNKED,90%,EVIDENCE SCORE: 8/10 ,SOURCE SCORE: 9/10 ,LOGIC SCORE: 8/10 ,"Indian EVMs are subject to rigorous testing and scrutiny, and there's no substantial proof to support claims of systematic fraud."
48,Hollow Earth,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 3/10,LOGIC SCORE: 4/10,The claim that the Earth is hollow with inner civilizations accessible via polar portals is scientifically refuted.
49,Princess Diana Dodi Child,DEBUNKED,99%,EVIDENCE SCORE: 2/10,SOURCE SCORE: 2/10,LOGIC SCORE: 2/10,There is no evidence to support the claim that Princess Diana was murdered due to a pregnancy with Dodi Fayed's child.
50,Shakespeare Was Bacon,DEBUNKED,99%,EVIDENCE SCORE: 2/10 ,SOURCE SCORE: 2/10 ,LOGIC SCORE: 8/10 ,The overwhelming majority of scholars and experts in the field of Shakespearean studies reject the claim that Francis Bacon or the Earl of Oxford secretly wrote all of Shakespeare's works.
